0,1,0,3,0,"minecraft:dirt","Dirt"
0,1,1,3,0,"minecraft:dirt","Dirt"
0,1,2,2,0,"minecraft:grass_block","Grass"
0,1,3,2,0,"minecraft:grass_block","Grass"
0,1,4,2,0,"minecraft:grass_block","Grass"
0,1,5,2,0,"minecraft:grass_block","Grass"
0,1,6,2,0,"minecraft:grass_block","Grass"
0,1,7,2,0,"minecraft:grass_block","Grass"
0,1,8,2,0,"minecraft:grass_block","Grass"
0,1,9,3,0,"minecraft:dirt","Dirt"
0,1,10,3,0,"minecraft:dirt","Dirt"
1,1,0,3,0,"minecraft:dirt","Dirt"
1,1,1,3,0,"minecraft:dirt","Dirt"
1,1,2,3,0,"minecraft:dirt","Dirt"
1,1,3,3,0,"minecraft:dirt","Dirt"
1,1,4,3,0,"minecraft:dirt","Dirt"
1,1,5,3,0,"minecraft:dirt","Dirt"
1,1,6,3,0,"minecraft:dirt","Dirt"
1,1,7,3,0,"minecraft:dirt","Dirt"
1,1,8,3,0,"minecraft:dirt","Dirt"
1,1,9,3,0,"minecraft:dirt","Dirt"
1,1,10,3,0,"minecraft:dirt","Dirt"
2,1,0,2,0,"minecraft:grass_block","Grass"
2,1,1,3,0,"minecraft:dirt","Dirt"
2,1,2,3,0,"minecraft:dirt","Dirt"
2,1,3,3,0,"minecraft:dirt","Dirt"
2,1,4,3,0,"minecraft:dirt","Dirt"
2,1,5,3,0,"minecraft:dirt","Dirt"
2,1,6,3,0,"minecraft:dirt","Dirt"
2,1,7,3,0,"minecraft:dirt","Dirt"
2,1,8,3,0,"minecraft:dirt","Dirt"
2,1,9,3,0,"minecraft:dirt","Dirt"
2,1,10,2,0,"minecraft:grass_block","Grass"
3,1,0,2,0,"minecraft:grass_block","Grass"
3,1,1,3,0,"minecraft:dirt","Dirt"
3,1,2,3,0,"minecraft:dirt","Dirt"
3,1,3,3,0,"minecraft:dirt","Dirt"
3,1,4,3,0,"minecraft:dirt","Dirt"
3,1,5,3,0,"minecraft:dirt","Dirt"
3,1,6,3,0,"minecraft:dirt","Dirt"
3,1,7,3,0,"minecraft:dirt","Dirt"
3,1,8,3,0,"minecraft:dirt","Dirt"
3,1,9,3,0,"minecraft:dirt","Dirt"
3,1,10,2,0,"minecraft:grass_block","Grass"
4,1,0,2,0,"minecraft:grass_block","Grass"
4,1,1,3,0,"minecraft:dirt","Dirt"
4,1,2,3,0,"minecraft:dirt","Dirt"
4,1,3,41,0,"minecraft:gold_block","Gold Block"
4,1,4,41,0,"minecraft:gold_block","Gold Block"
4,1,5,3,0,"minecraft:dirt","Dirt"
4,1,6,41,0,"minecraft:gold_block","Gold Block"
4,1,7,3,0,"minecraft:dirt","Dirt"
4,1,8,3,0,"minecraft:dirt","Dirt"
4,1,9,2,0,"minecraft:grass_block","Grass"
4,1,10,2,0,"minecraft:grass_block","Grass"
5,1,0,2,0,"minecraft:grass_block","Grass"
5,1,1,3,0,"minecraft:dirt","Dirt"
5,1,2,3,0,"minecraft:dirt","Dirt"
5,1,3,3,0,"minecraft:dirt","Dirt"
5,1,4,3,0,"minecraft:dirt","Dirt"
5,1,5,3,0,"minecraft:dirt","Dirt"
5,1,6,3,0,"minecraft:dirt","Dirt"
5,1,7,41,0,"minecraft:gold_block","Gold Block"
5,1,8,3,0,"minecraft:dirt","Dirt"
5,1,9,2,0,"minecraft:grass_block","Grass"
5,1,10,2,0,"minecraft:grass_block","Grass"
6,1,0,2,0,"minecraft:grass_block","Grass"
6,1,1,3,0,"minecraft:dirt","Dirt"
6,1,2,3,0,"minecraft:dirt","Dirt"
6,1,3,3,0,"minecraft:dirt","Dirt"
6,1,4,3,0,"minecraft:dirt","Dirt"
6,1,5,41,0,"minecraft:gold_block","Gold Block"
6,1,6,41,0,"minecraft:gold_block","Gold Block"
6,1,7,3,0,"minecraft:dirt","Dirt"
6,1,8,3,0,"minecraft:dirt","Dirt"
6,1,9,2,0,"minecraft:grass_block","Grass"
6,1,10,2,0,"minecraft:grass_block","Grass"
7,1,0,2,0,"minecraft:grass_block","Grass"
7,1,1,3,0,"minecraft:dirt","Dirt"
7,1,2,3,0,"minecraft:dirt","Dirt"
7,1,3,3,0,"minecraft:dirt","Dirt"
7,1,4,41,0,"minecraft:gold_block","Gold Block"
7,1,5,3,0,"minecraft:dirt","Dirt"
7,1,6,3,0,"minecraft:dirt","Dirt"
7,1,7,3,0,"minecraft:dirt","Dirt"
7,1,8,3,0,"minecraft:dirt","Dirt"
7,1,9,3,0,"minecraft:dirt","Dirt"
7,1,10,2,0,"minecraft:grass_block","Grass"
8,1,0,2,0,"minecraft:grass_block","Grass"
8,1,1,3,0,"minecraft:dirt","Dirt"
8,1,2,3,0,"minecraft:dirt","Dirt"
8,1,3,3,0,"minecraft:dirt","Dirt"
8,1,4,3,0,"minecraft:dirt","Dirt"
8,1,5,3,0,"minecraft:dirt","Dirt"
8,1,6,3,0,"minecraft:dirt","Dirt"
8,1,7,3,0,"minecraft:dirt","Dirt"
8,1,8,3,0,"minecraft:dirt","Dirt"
8,1,9,3,0,"minecraft:dirt","Dirt"
8,1,10,2,0,"minecraft:grass_block","Grass"
9,1,0,3,0,"minecraft:dirt","Dirt"
9,1,1,3,0,"minecraft:dirt","Dirt"
9,1,2,3,0,"minecraft:dirt","Dirt"
9,1,3,3,0,"minecraft:dirt","Dirt"
9,1,4,3,0,"minecraft:dirt","Dirt"
9,1,5,3,0,"minecraft:dirt","Dirt"
9,1,6,3,0,"minecraft:dirt","Dirt"
9,1,7,3,0,"minecraft:dirt","Dirt"
9,1,8,3,0,"minecraft:dirt","Dirt"
9,1,9,3,0,"minecraft:dirt","Dirt"
9,1,10,3,0,"minecraft:dirt","Dirt"
10,1,0,3,0,"minecraft:dirt","Dirt"
10,1,1,3,0,"minecraft:dirt","Dirt"
10,1,2,2,0,"minecraft:grass_block","Grass"
10,1,3,2,0,"minecraft:grass_block","Grass"
10,1,4,2,0,"minecraft:grass_block","Grass"
10,1,5,2,0,"minecraft:grass_block","Grass"
10,1,6,2,0,"minecraft:grass_block","Grass"
10,1,7,2,0,"minecraft:grass_block","Grass"
10,1,8,2,0,"minecraft:grass_block","Grass"
10,1,9,3,0,"minecraft:dirt","Dirt"
10,1,10,3,0,"minecraft:dirt","Dirt"
0,2,0,82,0,"minecraft:clay","Clay"
0,2,1,159,9,"minecraft:cyan_terracotta","Cyan Stained Clay"
0,2,9,159,9,"minecraft:cyan_terracotta","Cyan Stained Clay"
0,2,10,82,0,"minecraft:clay","Clay"
1,2,0,159,9,"minecraft:cyan_terracotta","Cyan Stained Clay"
1,2,1,82,0,"minecraft:clay","Clay"
1,2,2,82,0,"minecraft:clay","Clay"
1,2,3,82,0,"minecraft:clay","Clay"
1,2,4,82,0,"minecraft:clay","Clay"
1,2,5,44,0,"minecraft:stone_slab","Stone Slab"
1,2,6,82,0,"minecraft:clay","Clay"
1,2,7,82,0,"minecraft:clay","Clay"
1,2,8,82,0,"minecraft:clay","Clay"
1,2,9,82,0,"minecraft:clay","Clay"
1,2,10,159,9,"minecraft:cyan_terracotta","Cyan Stained Clay"
2,2,1,82,0,"minecraft:clay","Clay"
2,2,2,5,3,"minecraft:jungle_planks","Jungle Wood Plank"
2,2,3,5,3,"minecraft:jungle_planks","Jungle Wood Plank"
2,2,4,5,3,"minecraft:jungle_planks","Jungle Wood Plank"
2,2,5,5,3,"minecraft:jungle_planks","Jungle Wood Plank"
